id,category,role,parent_task,sub_task,description,complexity,priority,estimation_manday,backend_implement,backend_fixbug,backend_unittest,frontend_implement,frontend_fixbug,frontend_unittest,responsive_implement,testing_implement,confidence_level,validated,project_name
example_auth_1,Authentication & Authorization,Backend,User Authentication System,JWT Token Generation and Validation,Implement JWT token generation with access and refresh token mechanism. Include token expiration handling and secure storage.,Medium,High,2.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.85,True,Sample E-Commerce Project
example_auth_2,Authentication & Authorization,Backend,User Authentication System,Login API Endpoint with Rate Limiting,Create secure login endpoint with email/password validation and implement rate limiting to prevent brute force attacks.,Medium,High,1.5,0.9,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.80,True,Sample E-Commerce Project
example_auth_3,Authentication & Authorization,Frontend,User Authentication System,Login Form UI with Validation,Build responsive login form with client-side validation for email format and password strength. Include error handling and loading states.,Medium,High,1.5,0.0,0.0,0.0,0.9,0.3,0.3,0.0,0.0,0.80,True,Sample E-Commerce Project
example_user_1,User Management,Backend,User Profile Management,User Profile CRUD API,Implement REST API endpoints for user profile creation, retrieval, update, and deletion with proper authorization checks.,Low,Medium,2.0,1.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.85,True,Sample E-Commerce Project
example_user_2,User Management,Frontend,User Profile Management,Profile Edit Form Component,Create user profile edit form with image upload functionality. Include client-side validation and preview before save.,Medium,Medium,2.0,0.0,0.0,0.0,1.2,0.4,0.4,0.0,0.0,0.75,True,Sample E-Commerce Project
example_product_1,Product Management,Backend,Product Catalog,Product CRUD API with Image Upload,Implement product management API with support for multiple images upload to S3. Include category association and stock management.,High,High,3.0,1.8,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.70,True,Sample E-Commerce Project
example_product_2,Product Management,Backend,Product Search,Elasticsearch Integration for Product Search,Integrate Elasticsearch for advanced product search with filters (category, price range, ratings). Implement indexing and search queries.,High,High,3.5,2.1,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.65,True,Sample E-Commerce Project
example_product_3,Product Management,Frontend,Product Listing,Product Grid with Filters and Pagination,Create responsive product grid component with filter sidebar (category, price, ratings) and pagination. Include lazy loading for images.,Medium,High,2.5,0.0,0.0,0.0,1.5,0.5,0.5,0.0,0.0,0.75,True,Sample E-Commerce Project
example_cart_1,Shopping Cart,Backend,Cart Management,Shopping Cart API with Session Handling,Implement shopping cart API with add/remove/update quantity operations. Support both guest and authenticated users with session management.,Medium,High,2.0,1.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.80,True,Sample E-Commerce Project
example_cart_2,Shopping Cart,Frontend,Cart UI,Shopping Cart Component with Real-time Updates,Build shopping cart UI with quantity controls, price calculations, and real-time updates. Include product image thumbnails and remove functionality.,Medium,High,2.0,0.0,0.0,0.0,1.2,0.4,0.4,0.0,0.0,0.80,True,Sample E-Commerce Project
example_payment_1,Payment Processing,Backend,Payment Integration,Stripe Payment Gateway Integration,Integrate Stripe for credit card payments. Implement payment intent creation, confirmation handling, and webhook for payment status updates.,High,Critical,4.0,2.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.75,True,Sample E-Commerce Project
example_payment_2,Payment Processing,Backend,Order Management,Order Creation and Status Tracking,Implement order creation API with inventory deduction. Include order status workflow (pending, processing, shipped, delivered, cancelled).,Medium,High,2.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.80,True,Sample E-Commerce Project
example_payment_3,Payment Processing,Frontend,Checkout Flow,Multi-step Checkout Form with Payment UI,Create multi-step checkout process: shipping info, payment method selection, order review. Integrate Stripe Elements for secure card input.,High,Critical,3.0,0.0,0.0,0.0,1.8,0.6,0.6,0.0,0.0,0.70,True,Sample E-Commerce Project
example_admin_1,Admin Dashboard,Backend,Analytics API,Dashboard Analytics Endpoints,Create analytics API endpoints for sales reports, user statistics, and product performance metrics. Include date range filtering and aggregations.,Medium,Medium,2.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.75,True,Sample E-Commerce Project
example_admin_2,Admin Dashboard,Frontend,Dashboard UI,Admin Dashboard with Charts and Statistics,Build admin dashboard with interactive charts (sales trends, user growth, top products) using Chart.js. Include KPI cards and data tables.,High,Medium,3.0,0.0,0.0,0.0,1.8,0.6,0.6,0.0,0.0,0.70,True,Sample E-Commerce Project
example_notification_1,Notification System,Backend,Email Notifications,Email Service Integration with Templates,Integrate SendGrid/AWS SES for transactional emails. Implement email templates for order confirmation, shipping updates, and password reset.,Medium,Medium,2.0,1.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.80,True,Sample E-Commerce Project
example_responsive_1,Responsive Design,Frontend,Mobile Optimization,Responsive Layout for Mobile Devices,Optimize entire application for mobile devices with touch-friendly UI, hamburger menu, and mobile-specific layouts. Test on multiple screen sizes.,Medium,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.75,True,Sample E-Commerce Project
example_testing_1,Testing & QA,Testing,End-to-End Testing,Automated E2E Tests with Playwright,Create comprehensive E2E test suite covering critical user flows: registration, login, product search, cart, checkout. Include test data setup and teardown.,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.80,True,Sample E-Commerce Project
